Date,Open,High,Low,Close,Adj_Close,Volume
14/03/62,7.036329,7.055449,7.010835,7.023582,1.554203,211815
15/03/62,7.023582,7.061823,7.010835,7.010835,1.551382,258885
16/03/62,7.010835,7.042702,7.010835,7.042702,1.558433,172590
19/03/62,7.055449,7.087317,7.055449,7.061823,1.562665,392250
20/03/62,7.049076,7.049076,7.017208,7.017208,1.552793,172590
21/03/62,7.017208,7.036329,6.998088,7.023582,1.554203,274575
22/03/62,6.998088,6.998088,6.9471,6.9471,1.537279,251040
23/03/62,6.953474,6.985341,6.953474,6.972594,1.54292,196125
26/03/62,6.972594,6.998088,6.959847,6.969407,1.542215,141210
27/03/62,6.953474,6.953474,6.832377,6.838751,1.513304,368715
28/03/62,6.845124,6.896112,6.845124,6.876992,1.521765,345180
29/03/62,6.876992,6.908859,6.857871,6.857871,1.517534,243195
30/03/62,6.845124,6.845124,6.759082,6.79095,1.502726,462855
02/04/62,6.787763,6.787763,6.698534,6.698534,1.482277,392250
03/04/62,6.692161,6.692161,6.462715,6.532823,1.445605,957090
04/04/62,6.532823,6.590185,6.504143,6.504143,1.439261,682515
05/04/62,6.539197,6.641173,6.539197,6.641173,1.469582,957090
06/04/62,6.641173,6.692161,6.590185,6.634799,1.468172,455010
09/04/62,6.634799,6.67304,6.590185,6.641173,1.469582,23535
10/04/62,6.641173,6.666667,6.602932,6.666667,1.475224,274575
11/04/62,6.666667,6.717655,6.577438,6.577438,1.455478,556995
12/04/62,6.577438,6.590185,6.50733,6.50733,1.439965,423630
13/04/62,6.50733,6.602932,6.500956,6.602932,1.461121,658980
16/04/62,6.602932,6.647546,6.52645,6.596558,1.459711,533460
17/04/62,6.596558,6.628426,6.564691,6.628426,1.466762,313800
18/04/62,6.628426,6.685787,6.609305,6.615679,1.463941,447165
19/04/62,6.615679,6.641173,6.590185,6.615679,1.463941,407940
23/04/62,6.615679,6.622052,6.583811,6.609305,1.46253,329490
24/04/62,6.609305,6.650733,6.596558,6.602932,1.461121,478545
25/04/62,6.602932,6.628426,6.532823,6.532823,1.445605,486390
26/04/62,6.52645,6.52645,6.367113,6.367113,1.408937,972780
27/04/62,6.367113,6.437221,6.118547,6.188655,1.369448,1710210
30/04/62,6.188655,6.246017,5.736138,5.787126,1.280596,2455485
01/05/62,5.787126,5.920969,5.481198,5.889101,1.303161,5562105
02/05/62,5.991077,6.169535,5.991077,6.022945,1.332779,2675145
03/05/62,6.022945,6.169535,5.97833,6.147228,1.36028,1427790
04/05/62,6.147228,6.195029,6.086679,6.195029,1.370859,815880
07/05/62,6.195029,6.24283,6.057999,6.057999,1.340536,870795
08/05/62,6.050032,6.050032,5.857234,5.857234,1.296314,1082610
09/05/62,5.857234,5.911409,5.736138,5.748885,1.272334,1678830
10/05/62,5.748885,5.860421,5.723391,5.774379,1.277977,2000475
11/05/62,5.774379,5.863607,5.659656,5.68515,1.258228,1984785
